-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::fill_         0.55%       10.546s         0.57%       10.918s      23.921us       16.869s         1.68%       17.375s      38.068us           0 b           0 b           0 b           0 b        456412  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       16.697s         1.66%       16.697s      42.229us           0 b           0 b           0 b           0 b        395386  
void preprocessCUDA<3>(int, int, int, float3 const*,...         0.00%       0.000us         0.00%       0.000us       0.000us       16.695s         1.66%       16.695s     556.497us           0 b           0 b           0 b           0 b         30000  
void preprocessCUDA<3>(int, int, int, float const*, ...         0.00%       0.000us         0.00%       0.000us       0.000us       12.257s         1.22%       12.257s     408.415us           0 b           0 b           0 b           0 b         30010  
                                             aten::add_         0.51%        9.632s         0.63%       12.031s      24.681us        9.371s         0.93%       10.845s      22.249us     325.85 Kb    -421.98 Kb           0 b           0 b        487447  
void cub::DeviceRadixSortOnesweepKernel<cub::DeviceR...         0.00%       0.000us         0.00%       0.000us       0.000us        9.127s         0.91%        9.127s      50.690us           0 b           0 b           0 b           0 b        180060  
                                 cudaDeviceGetAttribute         0.00%      18.632ms         0.00%      27.121ms       0.061us        8.747s         0.87%        8.747s      19.691us         188 b         188 b       1.67 Gb       1.56 Gb        444225  
duplicateWithKeys(int, float2 const*, float const*, ...         0.00%       0.000us         0.00%       0.000us       0.000us        6.897s         0.69%        6.897s     229.817us           0 b           0 b           0 b           0 b         30010  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        6.806s         0.68%        6.806s      37.810us           0 b           0 b           0 b           0 b        180000  
                                              aten::neg         0.35%        6.658s         0.38%        7.296s      40.536us        6.806s         0.68%        7.391s      41.063us           0 b           0 b    2846.04 Gb    2557.24 Gb        180000  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.01%     121.661ms         0.01%     123.572ms       0.391us        6.484s         0.65%        6.487s      20.512us          32 b         -88 b     139.22 Mb     275.15 Mb        316278  
                                              aten::add         0.23%        4.365s         0.23%        4.399s      18.218us        6.077s         0.61%        6.212s      25.727us     -20.20 Kb     -20.17 Kb    3871.05 Gb    3847.68 Gb        241454  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us        4.994s         0.50%        4.994s      33.261us           0 b           0 b           0 b           0 b        150154  
                                              aten::sub         0.13%        2.499s         0.13%        2.540s      16.832us        4.849s         0.48%        5.034s      33.359us     -11.57 Kb     -11.56 Kb    2330.11 Gb    2288.57 Gb        150890  
